Date,Total Cases,Total Death
20 Jan 21,98323,4799
19 Jan 21,98164,4798
18 Jan 21,97939,4797
17 Jan 21,97775,4797
16 Jan 21,97616,4796
15 Jan 21,97448,4796
14 Jan 21,97275,4796
13 Jan 21,97095,4793
12 Jan 21,96920,4792
11 Jan 21,96824,4792
10 Jan 21,96690,4791
09 Jan 21,96562,4789
08 Jan 21,96484,4788
07 Jan 21,96398,4788
06 Jan 21,96310,4787
05 Jan 21,96246,4785
04 Jan 21,96160,4784
03 Jan 21,96086,4784
02 Jan 21,96023,4783
01 Jan 21,95963,4782
31 Dec 20,95876,4780
30 Dec 20,95797,4777
29 Dec 20,95720,4773
28 Dec 20,95632,4770
27 Dec 20,95541,4770
26 Dec 20,95460,4770
25 Dec 20,95383,4769
24 Dec 20,95298,4767
23 Dec 20,95228,4766
22 Dec 20,95150,4765
21 Dec 20,95050,4763
20 Dec 20,94953,4763
19 Dec 20,94821,4763
18 Dec 20,94734,4759
17 Dec 20,94626,4757
16 Dec 20,94537,4756
15 Dec 20,94427,4754
14 Dec 20,94328,4751
13 Dec 20,94217,4749
12 Dec 20,94124,4748
11 Dec 20,94025,4748
10 Dec 20,93898,4748
09 Dec 20,93782,4746
08 Dec 20,93670,4746
07 Dec 20,93577,4746
06 Dec 20,93467,4746
05 Dec 20,93348,4746
04 Dec 20,93221,4744
03 Dec 20,93113,4744
02 Dec 20,92993,4743
01 Dec 20,92902,4743
30 Nov 20,92814,4743
29 Nov 20,92681,4743
28 Nov 20,92586,4742
27 Nov 20,92488,4742
26 Nov 20,92402,4742
25 Nov 20,92296,4742
24 Nov 20,92211,4742
23 Nov 20,92116,4742
22 Nov 20,92037,4742
21 Nov 20,91977,4742
20 Nov 20,91935,4742
19 Nov 20,91906,4742
18 Nov 20,91885,4742
17 Nov 20,91872,4742
16 Nov 20,91850,4742
15 Nov 20,91828,4742
14 Nov 20,91807,4742
13 Nov 20,91783,4742
12 Nov 20,91752,4742
11 Nov 20,91719,4742
10 Nov 20,91693,4741
09 Nov 20,91665,4741
08 Nov 20,91622,4741
07 Nov 20,91591,4741
06 Nov 20,91552,4740
05 Nov 20,91509,4740
04 Nov 20,91478,4739
03 Nov 20,91452,4739
02 Nov 20,91397,4739
01 Nov 20,91366,4739
31 Oct 20,91339,4739
30 Oct 20,91299,4739
29 Oct 20,91271,4739
28 Oct 20,91222,4739
27 Oct 20,91175,4739
26 Oct 20,91151,4739
25 Oct 20,91128,4739
24 Oct 20,91108,4739
23 Oct 20,91073,4739
22 Oct 20,91044,4739
21 Oct 20,91022,4739
20 Oct 20,91006,4739
19 Oct 20,90972,4739
18 Oct 20,90955,4739
17 Oct 20,90925,4739
